Timestamp,Please fill in your participant ID,"To start the interaction touch the robot's head and select the ""Start"" option. It will react to your touch! Select the ""Finish the task"" if you don't want to start.",Neutral,Sadness,Anger,Happiness,Excitement,Apology,Pensiveness,Enthusiasm,Worry,Anxiety,Neutral,Sadness,Anger,Happiness,Excitement,Apology,Pensiveness,Enthusiasm,Worry,Anxiety,Neutral,Sadness,Anger,Happiness,Excitement,Apology,Pensiveness,Enthusiasm,Worry,Anxiety,Neutral,Sadness,Anger,Happiness,Excitement,Apology,Pensiveness,Enthusiasm,Worry,Anxiety,Neutral,Sadness,Anger,Happiness,Excitement,Apology,Pensiveness,Enthusiasm,Worry,Anxiety,Neutral,Sadness,Anger,Happiness,Excitement,Apology,Pensiveness,Enthusiasm,Worry,Anxiety,Neutral,Sadness,Anger,Happiness,Excitement,Apology,Pensiveness,Enthusiasm,Worry,Anxiety,Neutral,Sadness,Anger,Happiness,Excitement,Apology,Pensiveness,Enthusiasm,Worry,Anxiety,Neutral,Sadness,Anger,Happiness,Excitement,Apology,Pensiveness,Enthusiasm,Worry,Anxiety,Neutral,Sadness,Anger,Happiness,Excitement,Apology,Pensiveness,Enthusiasm,Worry,Anxiety,Neutral,Sadness,Anger,Happiness,Excitement,Apology,Pensiveness,Enthusiasm,Worry,Anxiety,Neutral,Sadness,Anger,Happiness,Excitement,Apology,Pensiveness,Enthusiasm,Worry,Anxiety,Neutral,Sadness,Anger,Happiness,Excitement,Apology,Pensiveness,Enthusiasm,Worry,Anxiety,Neutral,Sadness,Anger,Happiness,Excitement,Apology,Pensiveness,Enthusiasm,Worry,Anxiety,Neutral,Sadness,Anger,Happiness,Excitement,Apology,Pensiveness,Enthusiasm,Worry,Anxiety,"Approximately, how many more sentences are you willing to read to help the robot?"
04/05/2022 21:16:21,0,Start,"""Tom beats that farmer.""",Finish the Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
05/05/2022 09:23:04,1,Start,"""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""I owe you an apology.""","""Please try to do your exercises next time.""","""Thank you for your help!""","""It seems like you are taking a long time.""","""I am so worried about my exam results.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""Forgive me, but I must leave now.""",Finish the Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
05/05/2022 10:08:24,2,Start,"""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""I owe you an apology.""","""Please try to do your exercises next time.""","""Thank you for your help!""","""It seems like you are taking a long time.""","""I am so worried about my exam results.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""Forgive me, but I must leave now.""","""I will think about it and get back to you.""","""You should be proud of yourself!""","""I know how frustrating it can be.""","""I am not sure how severe the wound is!""",Finish the Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
05/05/2022 10:52:36,3,Start,"""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""I owe you an apology.""","""Please try to do your exercises next time.""","""Thank you for your help!""","""It seems like you are taking a long time.""","""I am so worried about my exam results.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""Forgive me, but I must leave now.""","""I will think about it and get back to you.""","""You should be proud of yourself!""","""I know how frustrating it can be.""","""I am not sure how severe the wound is!""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""Jack views an art piece.""","""Jack views an art piece.""","""Jack views an art piece.""","""Jack views an art piece.""","""Jack views an art piece.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Carl leaps into a jeep.""","""Carl leaps into a jeep.""","""Carl leaps into a jeep.""","""Carl leaps into a jeep.""","""Carl leaps into a jeep.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""Linda asks for more darts.""","""Linda asks for more darts.""","""Linda asks for more darts.""","""Linda asks for more darts.""","""Linda asks for more darts.""","""Jack views an art piece.""","""Jack views an art piece.""","""Jack views an art piece.""","""Jack views an art piece.""","""Jack views an art piece.""","""Find your boot in this shute.""","""Find your boot in this shute.""","""Find your boot in this shute.""","""Find your boot in this shute.""","""Find your boot in this shute.""","""Carl leaps into a jeep.""",Finish the Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
05/05/2022 11:32:09,4,Start,"""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""I owe you an apology.""","""Please try to do your exercises next time.""","""Thank you for your help!""","""It seems like you are taking a long time.""","""I am so worried about my exam results.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""Forgive me, but I must leave now.""","""I will think about it and get back to you.""","""You should be proud of yourself!""","""I know how frustrating it can be.""","""I am not sure how severe the wound is!""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""John laughs like your father.""",Finish the Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
05/05/2022 11:58:49,5,Start,"""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""I owe you an apology.""",Finish the Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
05/05/2022 12:24:18,6,Start,"""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""",Finish the Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
05/05/2022 13:17:27,7,Start,"""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""I owe you an apology.""","""Please try to do your exercises next time.""","""Thank you for your help!""","""It seems like you are taking a long time.""","""I am so worried about my exam results.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""Forgive me, but I must leave now.""","""I will think about it and get back to you.""","""You should be proud of yourself!""","""I know how frustrating it can be.""","""I am not sure how severe the wound is!""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""",Finish the Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
09/05/2022 17:21:31,8,Start,"""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""I owe you an apology.""","""Please try to do your exercises next time.""","""Thank you for your help!""","""It seems like you are taking a long time.""","""I am so worried about my exam results.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""Forgive me, but I must leave now.""","""I will think about it and get back to you.""","""You should be proud of yourself!""","""I know how frustrating it can be.""","""I am not sure how severe the wound is!""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""Tom beats that farmer.""","""Tom beats that farmer.""",Finish the Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
05/05/2022 14:34:16,9,Start,"""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""",Finish the Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
05/05/2022 15:23:55,10,Start,"""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""I owe you an apology.""","""Please try to do your exercises next time.""","""Thank you for your help!""","""It seems like you are taking a long time.""","""I am so worried about my exam results.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""Forgive me, but I must leave now.""","""I will think about it and get back to you.""","""You should be proud of yourself!""","""I know how frustrating it can be.""","""I am not sure how severe the wound is!""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""",Finish the Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
05/05/2022 16:03:38,11,Start,"""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""",Finish the Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
05/05/2022 16:42:01,12,Start,"""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""I owe you an apology.""","""Please try to do your exercises next time.""","""Thank you for your help!""","""It seems like you are taking a long time.""","""I am so worried about my exam results.""","""John laughs like your father.""","""John laughs like your father.""",Finish the Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
05/05/2022 17:44:03,13,Start,Finish the Task,"""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""I owe you an apology.""","""Please try to do your exercises next time.""","""Thank you for your help!""","""It seems like you are taking a long time.""","""I am so worried about my exam results.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""Forgive me, but I must leave now.""","""I will think about it and get back to you.""","""You should be proud of yourself!""","""I know how frustrating it can be.""","""I am not sure how severe the wound is!""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""Jack views an art piece.""","""Jack views an art piece.""","""Jack views an art piece.""","""Jack views an art piece.""","""Jack views an art piece.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Carl leaps into a jeep.""","""Carl leaps into a jeep.""","""Carl leaps into a jeep.""","""Carl leaps into a jeep.""","""Carl leaps into a jeep.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""Linda asks for more darts.""","""Linda asks for more darts.""","""Linda asks for more darts.""","""Linda asks for more darts.""","""Linda asks for more darts.""","""Jack views an art piece.""","""Jack views an art piece.""","""Jack views an art piece.""","""Jack views an art piece.""","""Jack views an art piece.""","""Find your boot in this shute.""","""Find your boot in this shute.""","""Find your boot in this shute.""","""Find your boot in this shute.""","""Find your boot in this shute.""","""Carl leaps into a jeep.""","""Carl leaps into a jeep.""","""Carl leaps into a jeep.""","""Carl leaps into a jeep.""","""Carl leaps into a jeep.""","""Water harms the new born boy.""","""Water harms the new born boy.""","""Water harms the new born boy.""","""Water harms the new born boy.""","""Water harms the new born boy.""","""Linda asks for more darts.""","""Linda asks for more darts.""","""Linda asks for more darts.""","""Linda asks for more darts.""","""Linda asks for more darts.""","""I have not seen my tooth.""","""I have not seen my tooth.""","""I have not seen my tooth.""","""I have not seen my tooth.""","""I have not seen my tooth.""","""Find your boot in this shute.""","""Find your boot in this shute.""","""Find your boot in this shute.""","""Find your boot in this shute.""","""Find your boot in this shute.""","""Work hard or you lose.""","""Work hard or you lose.""","""Work hard or you lose.""","""Work hard or you lose.""","""Work hard or you lose.""","""Water harms the new born boy.""","""Water harms the new born boy.""","""Water harms the new born boy.""","""Water harms the new born boy.""","""Water harms the new born boy.""","""Jim saw the port.""","""Jim saw the port.""","""Jim saw the port.""","""Jim saw the port.""","""Jim saw the port.""","""Your results are unbelievable.""","""Your results are unbelievable.""","""Your results are unbelievable.""","""Your results are unbelievable.""","""Your results are unbelievable.""","""They should start to talk.""","""They should start to talk.""","""They should start to talk.""","""They should start to talk.""","""They should start to talk.""","""We were away a year ago.""","""We were away a year ago.""","""We were away a year ago.""","""We were away a year ago.""","""We were away a year ago.""","""Sound the horn if you need more.""","""Sound the horn if you need more.""","""Sound the horn if you need more.""","""Sound the horn if you need more.""","""Sound the horn if you need more.""","""How are you doing?""","""How are you doing?""","""How are you doing?""","""How are you doing?""","""How are you doing?""",20
05/05/2022 17:59:46,14,Start,"""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""I owe you an apology.""","""Please try to do your exercises next time.""","""Thank you for your help!""","""It seems like you are taking a long time.""","""I am so worried about my exam results.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""Forgive me, but I must leave now.""",Finish the Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
09/05/2022 19:33:39,16,Start,"""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""I owe you an apology.""","""Please try to do your exercises next time.""","""Thank you for your help!""",Finish the Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
05/05/2022 20:01:20,17,Start,"""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""I owe you an apology.""","""Please try to do your exercises next time.""","""Thank you for your help!""","""It seems like you are taking a long time.""",Finish the Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
05/05/2022 20:58:10,18,Start,"""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""I owe you an apology.""","""Please try to do your exercises next time.""","""Thank you for your help!""","""It seems like you are taking a long time.""","""I am so worried about my exam results.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""Forgive me, but I must leave now.""","""I will think about it and get back to you.""","""You should be proud of yourself!""","""I know how frustrating it can be.""","""I am not sure how severe the wound is!""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""Jack views an art piece.""","""Jack views an art piece.""","""Jack views an art piece.""","""Jack views an art piece.""","""Jack views an art piece.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Carl leaps into a jeep.""","""Carl leaps into a jeep.""","""Carl leaps into a jeep.""","""Carl leaps into a jeep.""","""Carl leaps into a jeep.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""Linda asks for more darts.""","""Linda asks for more darts.""","""Linda asks for more darts.""",Finish the Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
05/05/2022 21:37:09,19,Start,"""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""I owe you an apology.""","""Please try to do your exercises next time.""","""Thank you for your help!""","""It seems like you are taking a long time.""","""I am so worried about my exam results.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""Forgive me, but I must leave now.""","""I will think about it and get back to you.""","""You should be proud of yourself!""","""I know how frustrating it can be.""","""I am not sure how severe the wound is!""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""Taylor likes stewed Asian food.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""John laughs like your father.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The lord swims in the sea.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""The seed is buried in deep.""","""Jack views an art piece.""","""Jack views an art piece.""","""Jack views an art piece.""","""Jack views an art piece.""","""Jack views an art piece.""",Finish the Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
09/05/2022 16:40:45,20,Start,"""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""Tom beats that farmer.""","""I owe you an apology.""","""Please try to do your exercises next time.""","""Thank you for your help!""","""It seems like you are taking a long time.""","""I am so worried about my exam results.""","""John laughs like your father.""",Finish the Task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
